Actuals,Predicteds
3.0,1.39985053203
1.0,1.36777594638
1.0,1.23036515225
1.0,1.20965572265
1.0,1.37389849266
1.0,1.35484474153
1.0,1.30088746856
1.0,1.20734736418
1.0,1.16105064593
1.0,1.15972824296
1.0,1.46461794852
1.0,1.30587958718
1.0,1.3671263271
1.0,1.2604376565
4.0,1.41604240353
1.0,1.42213447198
1.0,1.4038893799
1.0,1.26666442723
1.0,1.21307475015
1.0,1.42562915901
1.0,1.35084239061
1.0,1.17165530014
1.0,1.4259352273
1.0,1.28333314851
1.0,1.34251362268
1.0,1.17576177602
1.0,1.33598022398
1.0,1.21141961984
1.0,1.25680005139
1.0,1.35705743504
1.0,1.25336966658
1.0,1.38326404405
1.0,1.16482386627
1.0,1.37357586977
1.0,1.18056061473
1.0,1.3251538719
1.0,1.25533631254
1.0,1.29408181397
1.0,1.38622209574
1.0,1.24472890441
2.0,1.87616305102
1.0,1.22333715507
1.0,1.44601162071
1.0,1.37870420228
2.0,1.45755173888
1.0,1.38738780974
1.0,1.38054772354
1.0,1.32357105264
1.0,1.25179662164
1.0,1.35504485306
2.0,1.24177362547
1.0,1.39495685903
1.0,1.41876465056
4.0,1.39480459667
1.0,1.32979322006
1.0,1.29238670236
1.0,1.40068923314
1.0,1.40831328416
1.0,1.17791967223
1.0,1.21143796952
1.0,1.24976601798
1.0,1.21819817933
1.0,1.17725524976
1.0,1.08871398598
1.0,1.16824811864
3.0,1.37982560154
1.0,1.23948279824
1.0,1.09474690044
4.0,1.31034428662
1.0,1.24870431612
1.0,1.37760127608
1.0,1.23650707971
1.0,1.30570042196
2.0,1.31071552161
1.0,1.26032751978
1.0,1.07273024123
1.0,1.18557982636
1.0,1.29176590228
2.0,1.38188266433
1.0,1.16753853427
1.0,1.31095891469
1.0,1.3240512285
1.0,1.42730606876
2.0,1.0983093999
1.0,1.28456168714
5.0,1.41299333117
1.0,1.41783808885
1.0,1.15389700812
5.0,1.26895849044
1.0,1.24796798674
2.0,1.1652039253
1.0,1.19165388815
2.0,1.35188354448
2.0,1.32685932616
1.0,1.25378750587
4.0,1.32406248209
1.0,1.36381315873
1.0,1.32691886597
1.0,1.18947437404
1.0,1.34747078631
1.0,1.21497206108
1.0,1.29632016556
1.0,1.23281335521
1.0,1.27132021582
1.0,1.35766233902
1.0,1.1986288811
6.0,1.36783905369
1.0,1.45410561013
1.0,1.27852428218
1.0,1.21465699515
1.0,1.19089948157
2.0,1.392151641
1.0,1.19642570689
1.0,1.08721071531
2.0,1.31732215875
1.0,1.20337295377
2.0,1.37837155412
1.0,1.22080003672
1.0,1.20125841312
1.0,1.44232482731
2.0,1.28143881914
1.0,1.25780872663
1.0,1.27800702513
1.0,1.28213002322
1.0,1.31147235283
1.0,1.36377743612
1.0,1.34576291373
1.0,1.40909461223
1.0,1.21469940826
1.0,1.22505379683
2.0,1.28961164453
1.0,1.27493369452
1.0,1.20470919431
1.0,1.44911510767
1.0,1.35261769299
1.0,1.22424667012
3.0,1.44595100274
2.0,1.35769369704
1.0,1.36240817859
1.0,1.25088898097
1.0,1.24128840075
2.0,1.29583462624
1.0,1.28276123667
1.0,1.32617473785
1.0,1.34676983478
3.0,1.23476949032
1.0,1.14375139798
1.0,1.36465359717
1.0,1.23242255328
1.0,1.20402484219
1.0,1.37714525718
1.0,1.19513560821
2.0,1.22779529244
1.0,1.38140695537
2.0,1.42905550577
1.0,1.35331395009
1.0,1.27562926231
1.0,1.30719381471
1.0,1.33059115506
1.0,1.20121399044
1.0,1.43516411309
1.0,1.38132687354
1.0,1.42474046286
1.0,1.45654345689
1.0,1.38454407358
1.0,1.36517935848
1.0,1.22950740302
1.0,1.40873486828
1.0,1.33378683525
2.0,1.38938056826
1.0,1.08950085143
1.0,1.37369084242
1.0,1.22584003275
1.0,1.31419083094
2.0,1.39862135383
1.0,1.26392657362
1.0,1.12273042524
2.0,1.25678625048
1.0,1.33083773105
1.0,1.39258018557
1.0,1.2012866005
1.0,1.37161921855
